Country;Population;Immigrants probability;Christians;Muslims;Jews;Black people;Asian people;White people
Austria;0.017054641333934303;0.15330284992617066;0.9184224743381957;0.08103727714748786;0.0005402485143165856;0.015168489154207859;0.019999951726751345;0.9648315591190408
Belgium;0.022130341406556286;0.10272950409540318;0.8928571428571429;0.10302197802197806;0.004120879120879122;0.07971760128320537;0.01999999468549325;0.9002824040313013
Bulgaria;0.014022829373310694;0.01175615590294591;0.8495752123938032;0.1499250374812594;0.0004997501249375313;0.018447998989066485;0.02000004473157143;0.9615519562793621
Croatia;0.008214538815684475;0.18063464329919637;0.9835194045720362;0.01594896331738437;0.000531632110579479;0.03149210782335708;0.01999990932235402;0.948507982854289
Cyprus;0.0016628727665159522;0.2443809463185429;0.8305647840531561;0.16611295681063126;0.0033222591362126247;0.15557001552482025;0.019999552055299952;0.8244304324198798
Czech Republic;0.02068761645888518;0.041607213599823306;0.9784735812133072;0.019569471624266144;0.0019569471624266144;0.012504734057537145;0.020000013265310087;0.9674952526771528
Denmark;0.011187339031155655;0.0975644841973833;0.9159482758620691;0.08081896551724138;0.003232758620689655;0.023123742060757447;0.019999996495685925;0.9568762614435566
Estonia;0.0025795101133654534;0.15956910020487194;0.9776536312849162;0.013966480446927375;0.008379888268156424;0.1002877022122522;0.02000009118929073;0.8797122065984571
Finland;0.010756207316687609;0.08135756185000004;0.9935710111046172;0.0058445353594389245;0.0005844535359438924;0.008883955484182773;0.019999970841804396;0.9711160736740129
France;0.1306699415346207;0.11159473604759776;0.8873720136518772;0.10238907849829355;0.010238907849829353;0.045003406082789375;0.01999999369952315;0.9349966002176875
Greece;0.02113827566065462;0.09164207101278701;0.9184224743381957;0.08103727714748786;0.0005402485143165856;0.012238138354123261;0.02000000370928549;0.9677618579365912
Spain;0.09102847780584339;0.12686064138871903;0.9609224855861628;0.03843689942344651;0.0006406149903907752;0.014707648765498535;0.019999990525087177;0.9652923607094143
Ireland;0.009259198620187198;0.155714755996744;0.9835194045720362;0.01594896331738437;0.000531632110579479;0.013777189244231896;0.019999978829728565;0.9662228319260395
Lithuania;0.005662144114067687;0.051160821420238055;0.9935710111046172;0.0058445353594389245;0.0005844535359438924;0.0456881945939808;0.01999994460904022;0.934311860796979
Luxemburg;0.001129561837978462;0.39810741537078587;0.9609224855861628;0.03843689942344651;0.0006406149903907752;0.229020787888569;0.020000034707218582;0.7509791774042124
Latvia;0.003859544550742055;0.1436735286753342;0.985663082437276;0.008960573476702509;0.005376344086021505;0.06702685736661593;0.019999928896364927;0.9129732137370191
Malta;0.0008515156661501501;0.04670547855332491;0.9943906170321265;0.005099439061703213;0.0005099439061703213;0.30380315053072837;0.01999986187940691;0.6761969875898647
Netherlands;0.03328242824622145;0.11572578555307932;0.8757961783439491;0.1194267515923567;0.004777070063694267;0.04122710717634365;0.019999976441653043;0.9387729163820033
Germany;0.16105374539823306;0.11982721939582776;0.8928571428571429;0.10302197802197806;0.004120879120879122;0.006207249093254789;0.02;0.9737927509067452
Poland;0.0744232274259086;0.01748232270641753;0.9940891993551855;0.0053734551316496505;0.0005373455131649651;0.003475973174641307;0.019999995259066844;0.9765240315662919
Portugal;0.020271049011697736;0.08643443348196025;0.9940891993551855;0.0053734551316496505;0.0005373455131649651;0.01450490410807894;0.02000003867974429;0.9654950572121768
Romania;0.03873343948965741;0.010062718725050566;0.9943906170321265;0.005099439061703213;0.0005099439061703213;0.007368432985316575;0.019999981781347015;0.9726315852333364
Slovakia;0.010636525499314195;0.0192491981574022;0.9935710111046172;0.0058445353594389245;0.0005844535359438924;0.02432120734532786;0.019999992628429348;0.9556788000262428
Slovenia;0.004046216117013801;0.11301925987361616;0.9609224855861628;0.03843689942344651;0.0006406149903907752;0.06393458347786152;0.02000011626847942;0.9160653002536591
Sweden;0.01930993870440916;0.11471150643634054;0.8928571428571429;0.10302197802197806;0.004120879120879122;0.015226854242561962;0.01999996548579705;0.9647731802716409
Hungary;0.019269691929738188;0.04573853680667841;0.9906759906759907;0.005827505827505827;0.003496503496503496;0.01342487171284021;0.020000030517314252;0.9665750977698455
United Kingdom;0.12816272154414102;0.11966694908654228;0.8928571428571429;0.10302197802197806;0.004120879120879122;0.03823649843239533;0.019999998164648074;0.9417635034029566
Italy;0.11891646022732555;0.0943114651674391;0.9491903964265773;0.05025125628140703;0.0005583472920156337;0.0170772371291905;0.019999999670323607;0.9629227632004859
