Country;Immigrants probability;Frequent integration;Less frequent integration;Would you feel comfortable if one of your children was in a relationship with a Black person?;Would you feel comfortable if one of your children was in a relationship with an Asian person?;Would you feel comfortable if one of your children was in a relationship with a Muslim?;Would you feel comfortable if one of your children was in a relationship with a Jew?;Would you feel comfortable if one of your children was in a relationship with a Christian?;Would you feel comfortable if one of your children was in a relationship with a White person?;Feel comfortable with all the social relations;Feel uncomfortable with at least one social relation;Strongly agree;Agree;Disagree;Strongly disagree
Austria;0.15330284992617066;0.7;0.21;0.5449999999999999;0.645;0.445;0.645;0.845;0.845;0.44;0.48;0.14;0.24;0.2;0.18
Belgium;0.10272950409540318;0.7;0.3;0.645;0.745;0.445;0.645;0.845;0.85;0.62;0.35;0.06;0.32;0.24;0.1
Bulgaria;0.01175615590294591;0.06999999999999999;0.81;0.245;0.345;0.245;0.5449999999999999;0.7449999999999999;0.5449999999999999;0.15;0.67;0.03;0.09;0.36;0.22
Croatia;0.18063464329919637;0.26;0.7;0.5449999999999999;0.745;0.5449999999999999;0.5449999999999999;0.7449999999999999;0.85;0.49;0.46;0.02;0.24;0.28;0.12
Cyprus;0.2443809463185429;0.69;0.24;0.345;0.345;0.245;0.345;0.5449999999999999;0.5449999999999999;0.43;0.52;0.02;0.15;0.37;0.19
Czech Republic;0.041607213599823306;0.53;0.45;0.245;0.245;0.14500000000000002;0.445;0.645;0.445;0.31;0.64;0.03;0.11;0.33;0.28
Denmark;0.0975644841973833;0.7100000000000001;0.28;0.845;0.845;0.5449999999999999;0.6264814814814815;0.8264814814814816;0.85;0.64;0.28;0.1;0.3;0.16;0.06
Estonia;0.15956910020487194;0.32;0.62;0.445;0.445;0.345;0.645;0.845;0.645;0.4;0.48;0.02;0.17;0.32;0.16
Finland;0.08135756185000004;0.55;0.45;0.645;0.745;0.345;0.745;0.85;0.85;0.5;0.44;0.09;0.36;0.19;0.07
France;0.11159473604759776;0.5499999999999999;0.42;0.745;0.845;0.645;0.845;0.85;0.85;0.66;0.27;0.07;0.25;0.19;0.16
Greece;0.09164207101278701;0.8300000000000001;0.17;0.445;0.445;0.345;0.445;0.645;0.645;0.37;0.6;0.02;0.08;0.39;0.26
Spain;0.12686064138871903;0.79;0.21;0.745;0.845;0.5449999999999999;0.745;0.85;0.85;0.83;0.11;0.08;0.4;0.17;0.07
Ireland;0.155714755996744;0.8200000000000001;0.17;0.745;0.745;0.645;0.745;0.85;0.85;0.8;0.14;0.22;0.46;0.11;0.04
Lithuania;0.051160821420238055;0.18;0.76;0.345;0.345;0.245;0.445;0.645;0.5449999999999999;0.5;0.43;0.06;0.29;0.33;0.09
Luxemburg;0.39810741537078587;0.72;0.26;0.845;0.845;0.645;0.845;0.85;0.85;0.71;0.2;0.24;0.39;0.12;0.05
Latvia;0.1436735286753342;0.32;0.64;0.445;0.5449999999999999;0.345;0.645;0.845;0.7449999999999999;0.41;0.49;0.03;0.13;0.42;0.19
Malta;0.04670547855332491;0.75;0.2;0.445;0.445;0.345;0.445;0.645;0.645;0.39;0.51;0.04;0.22;0.33;0.12
Netherlands;0.11572578555307932;0.6599999999999999;0.33;0.845;0.845;0.5449999999999999;0.845;0.85;0.85;0.79;0.15;0.05;0.35;0.2;0.05
Germany;0.11982721939582776;0.65;0.35;0.5449999999999999;0.645;0.445;0.645;0.845;0.845;0.55;0.33;0.12;0.34;0.17;0.09
Poland;0.01748232270641753;0.41000000000000003;0.53;0.5449999999999999;0.5449999999999999;0.345;0.5449999999999999;0.7449999999999999;0.7449999999999999;0.41;0.51;0.06;0.32;0.26;0.12
Portugal;0.08643443348196025;0.63;0.32;0.645;0.645;0.5449999999999999;0.645;0.845;0.845;0.79;0.16;0.07;0.43;0.2;0.01
Romania;0.010062718725050566;0.09;0.79;0.445;0.5449999999999999;0.445;0.445;0.645;0.7449999999999999;0.39;0.54;0.02;0.16;0.31;0.19
Slovakia;0.0192491981574022;0.32;0.65;0.245;0.245;0.14500000000000002;0.445;0.645;0.445;0.41;0.47;0.02;0.09;0.37;0.21
Slovenia;0.11301925987361616;0.49;0.5;0.5449999999999999;0.5449999999999999;0.5449999999999999;0.5449999999999999;0.7449999999999999;0.7449999999999999;0.64;0.33;0.06;0.26;0.23;0.1
Sweden;0.11471150643634054;0.81;0.19;0.845;0.95;0.645;0.845;0.85;0.85;0.81;0.16;0.27;0.42;0.07;0.03
Hungary;0.04573853680667841;0.19;0.78;0.445;0.5449999999999999;0.445;0.645;0.845;0.7449999999999999;0.17;0.73;0.03;0.12;0.19;0.51
United Kingdom;0.11966694908654228;0.67;0.32;0.845;0.845;0.645;0.845;0.85;0.85;0.74;0.15;0.14;0.42;0.15;0.04
Italy;0.0943114651674391;0.74;0.24;0.645;0.645;0.445;0.745;0.85;0.845;0.4;0.48;0.06;0.22;0.26;0.13
